Feature,Ensemble_SHAP,CostSensitive_SHAP,Difference
Response_Structural Incomplete,0.026083931654435823,0.03557660723905923,0.009492675584623404
Adenopathy_Left,0.0024589801124990005,0.010224254806740154,0.007765274694241153
Response_Indeterminate,0.0018113719227670745,0.007725923327769459,0.005914551405002385
Response_Excellent,0.010150911972676402,0.014725516376274643,0.004574604403598241
Physical Examination_Multinodular goiter,0.004049891174686836,0.008487946419427269,0.0044380552447404326
Hx Smoking_No,0.002265392631992638,0.00605191376073419,0.003786521128741552
Risk_High,0.003200174321959324,0.006882316019954204,0.0036821416979948805
Adenopathy_No,0.018579581461306793,0.021903419255596534,0.0033238377942897412
Adenopathy_Right,0.00658410434557159,0.009061778967322642,0.0024776746217510517
T_T3a,0.0014705983636688657,0.003917000733989354,0.002446402370320488
Pathology_Papillary,0.0048140379955814265,0.007214178857682073,0.0024001408621006463
T_T4a,0.003478323767805757,0.005875719405459168,0.0023973956376534106
M_M0,0.0025331024991529214,0.0048886589360401045,0.002355556436887183
T_T2,0.002235343222568095,0.004181441355794513,0.001946098133226418
Stage_I,0.00567936673618032,0.007554694364240681,0.001875327628060361
Pathology_Hurthel cell,0.002388247486571253,0.00408018556622768,0.0016919380796564273
Pathology_Follicular,0.0023845031625437203,0.004037315332393112,0.0016528121698493915
Thyroid Function_Euthyroid,0.003442842053890438,0.004871482384978098,0.00142864033108766
Thyroid Function_Clinical Hypothyroidism,0.0,0.0009834372058696722,0.0009834372058696722
Stage_III,0.0,0.0005439361728181817,0.0005439361728181817
Focality_Uni-Focal,0.007725985339771087,0.008244683818885563,0.0005186984791144761
T_T1b,0.004394741466499897,0.004747490513286616,0.00035274904678671976
T_T4b,0.0,0.0,0.0
Stage_IVA,0.0,0.0,0.0
Adenopathy_Posterior,0.0,0.0,0.0
Adenopathy_Extensive,0.0,0.0,0.0
Physical Examination_Normal,0.0,0.0,0.0
Thyroid Function_Subclinical Hypothyroidism,0.0,0.0,0.0
Thyroid Function_Clinical Hyperthyroidism,0.0019167900304960296,0.0018759600118355153,-4.083001866051427e-05
T_T3b,5.6904689409225314e-05,0.0,-5.6904689409225314e-05
Thyroid Function_Subclinical Hyperthyroidism,0.0030757124038716943,0.002842304587476938,-0.0002334078163947562
M_M1,0.0019804023370635997,0.0016576090649188047,-0.000322793272144795
Physical Examination_Single nodular goiter-right,0.004893091906891176,0.004499390358165684,-0.0003937015487254919
N_N0,0.019243357515688876,0.01874846241224399,-0.0004948951034448867
Physical Examination_Diffuse goiter,0.002073202602477865,0.0014796130910202537,-0.0005935895114576113
Gender_F,0.004994814095106286,0.004382599545877348,-0.0006122145492289382
Physical Examination_Single nodular goiter-left,0.004266160070336854,0.00362380931919586,-0.0006423507511409943
Gender_M,0.00757213402792527,0.006651486922846988,-0.0009206471050782821
Age,0.003359823174247103,0.0023917723324174,-0.000968050841829703
Smoking_Yes,0.0056762469496520395,0.004598990842052922,-0.0010772561075991175
Stage_IVB,0.003335621290425357,0.0020480380987919927,-0.0012875831916333643
Response_Biochemical Incomplete,0.0028227878767175234,0.0014767378612128399,-0.0013460500155046836
Stage_II,0.009959235079600367,0.008355326812933574,-0.0016039082666667922
Pathology_Micropapillary,0.0067602788488711815,0.005095623046394183,-0.0016646558024769982
N_N1a,0.003359244194594197,0.0011913678566284126,-0.0021678763379657847
Hx Smoking_Yes,0.004445847151953358,0.0019799207017569577,-0.0024659264501964004
T_T1a,0.006923990587641923,0.004403278279471266,-0.002520712308170657
Hx Radiothreapy_No,0.004635364374736911,0.0020457879715901194,-0.0025895764031467917
Hx Radiothreapy_Yes,0.004823208668365082,0.0021115252744559774,-0.0027116833939091044
Smoking_No,0.0070771901075620015,0.0036402202029686237,-0.003436969904593378
Focality_Multi-Focal,0.010045253478303356,0.006353634050040302,-0.0036916194282630536
Adenopathy_Bilateral,0.013759849363404998,0.009634845570528308,-0.00412500379287669
N_N1b,0.02230206478294317,0.017402947754578967,-0.004899117028364201
Risk_Intermediate,0.009915340606214766,0.004421333601951106,-0.00549400700426366
Risk_Low,0.02060466165471334,0.012848417109511867,-0.0077562445452014715
